2026/08/15 02:51:58 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:00 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:00 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:00 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:01 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:02 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:02 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:02 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:03 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:03 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:04 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:04 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:52:06 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 02:52:06 [KEYPRESS] Key: 'enter' | Screen: file_picker
2026/08/15 02:52:09 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:52:10 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:52:10 [KEYPRESS] Key: 'left' | Screen: processing
2026/08/15 02:52:10 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:52:11 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:52:11 [KEYPRESS] Key: 'enter' | Screen: processing
2026/08/15 02:52:12 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:13 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 02:52:13 [KEYPRESS] Key: 'up' | Screen: document_inspector
2026/08/15 02:52:13 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 02:52:14 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:14 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:14 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:14 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 02:52:15 [KEYPRESS] Key: 'up' | Screen: document_inspector
2026/08/15 02:52:15 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 02:52:16 [KEYPRESS] Key: 'left' | Screen: document_inspector
2026/08/15 02:52:16 [KEYPRESS] Key: 'left' | Screen: document_inspector
2026/08/15 02:52:17 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:17 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:17 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:17 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:17 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:17 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:17 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:52:18 [KEYPRESS] Key: 'up' | Screen: document_inspector
2026/08/15 02:52:19 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 02:52:21 [KEYPRESS] Key: 'esc' | Screen: settings
2026/08/15 02:52:22 [KEYPRESS] Key: 'esc' | Screen: home
2026/08/15 02:52:22 [ACTION] APP_EXIT - scanDOC TUI exited cleanly
2026/08/15 02:53:38 [ACTION] APP_START - scanDOC TUI started
2026/08/15 02:53:40 [KEYPRESS] Key: 'down' | Screen: home
